,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
4,Boston Celtics,32,50,0.39,25.0,100.8,105.1,-4.28,,Boston Celtics,1994
5,Philadelphia 76ers,25,57,0.305,32.0,98.0,105.6,-7.37,,Philadelphia 76ers,1994
6,Washington Bullets,24,58,0.293,33.0,100.4,107.7,-7.13,,Washington Bullets,1994
7,Atlanta Hawks*,57,25,0.695,—,101.4,96.2,4.94,,Atlanta Hawks*,1994
8,Chicago Bulls*,55,27,0.671,2.0,98.0,94.9,2.87,,Chicago Bulls*,1994
9,Indiana Pacers*,47,35,0.573,10.0,101.0,97.5,3.26,,Indiana Pacers*,1994
10,Cleveland Cavaliers*,47,35,0.573,10.0,101.2,97.1,3.64,,Cleveland Cavaliers*,1994
11,Charlotte Hornets,41,41,0.5,16.0,106.5,106.7,-0.23,,Charlotte Hornets,1994
12,Milwaukee Bucks,20,62,0.244,37.0,96.9,103.4,-6.24,,Milwaukee Bucks,1994
13,Detroit Pistons,20,62,0.244,37.0,96.9,104.7,-7.46,,Detroit Pistons,1994
0,,58,24,0.707,—,101.1,96.8,4.19,Houston Rockets*,Houston Rockets*,1994
1,,55,27,0.671,3.0,100.0,94.8,5.05,San Antonio Spurs*,San Antonio Spurs*,1994
2,,53,29,0.646,5.0,101.9,97.7,4.1,Utah Jazz*,Utah Jazz*,1994
3,,42,40,0.512,16.0,100.3,98.8,1.54,Denver Nuggets*,Denver Nuggets*,1994
4,,20,62,0.244,38.0,96.7,103.6,-6.55,Minnesota Timberwolves,Minnesota Timberwolves,1994
5,,13,69,0.159,45.0,95.1,103.8,-8.19,Dallas Mavericks,Dallas Mavericks,1994
6,,63,19,0.768,—,105.9,96.9,8.68,Seattle SuperSonics*,Seattle SuperSonics*,1994
7,,56,26,0.683,7.0,108.2,103.4,4.68,Phoenix Suns*,Phoenix Suns*,1994
8,,50,32,0.61,13.0,107.9,106.1,1.76,Golden State Warriors*,Golden State Warriors*,1994
9,,47,35,0.573,16.0,107.3,104.6,2.6,Portland Trail Blazers*,Portland Trail Blazers*,1994
10,,33,49,0.402,30.0,100.4,104.7,-3.93,Los Angeles Lakers,Los Angeles Lakers,1994
11,,28,54,0.341,35.0,101.1,106.9,-5.32,Sacramento Kings,Sacramento Kings,1994
12,,27,55,0.329,36.0,103.0,108.7,-5.28,Los Angeles Clippers,Los Angeles Clippers,1994
0,Orlando Magic*,57,25,0.695,—,110.9,103.8,6.44,,Orlando Magic*,1995
1,New York Knicks*,55,27,0.671,2.0,98.2,95.1,2.78,,New York Knicks*,1995
2,Boston Celtics*,35,47,0.427,22.0,102.8,104.7,-1.92,,Boston Celtics*,1995
3,Miami Heat,32,50,0.39,25.0,101.1,102.8,-1.85,,Miami Heat,1995
4,New Jersey Nets,30,52,0.366,27.0,98.1,101.2,-3.28,,New Jersey Nets,1995
5,Philadelphia 76ers,24,58,0.293,33.0,95.4,100.4,-5.06,,Philadelphia 76ers,1995
6,Washington Bullets,21,61,0.256,36.0,100.5,106.1,-5.56,,Washington Bullets,1995
7,Indiana Pacers*,52,30,0.634,—,99.2,95.5,3.35,,Indiana Pacers*,1995
8,Charlotte Hornets*,50,32,0.61,2.0,100.6,97.3,2.87,,Charlotte Hornets*,1995
9,Chicago Bulls*,47,35,0.573,5.0,101.5,96.7,4.32,,Chicago Bulls*,1995
10,Cleveland Cavaliers*,43,39,0.524,9.0,90.5,89.8,0.55,,Cleveland Cavaliers*,1995
11,Atlanta Hawks*,42,40,0.512,10.0,96.6,95.3,1.06,,Atlanta Hawks*,1995
12,Milwaukee Bucks,34,48,0.415,18.0,99.3,103.7,-4.3,,Milwaukee Bucks,1995
13,Detroit Pistons,28,54,0.341,24.0,98.2,105.5,-7.08,,Detroit Pistons,1995
0,,62,20,0.756,—,106.6,100.6,5.9,San Antonio Spurs*,San Antonio Spurs*,1995
1,,60,22,0.732,2.0,106.4,98.4,7.76,Utah Jazz*,Utah Jazz*,1995
2,,47,35,0.573,15.0,103.5,101.4,2.32,Houston Rockets*,Houston Rockets*,1995
3,,41,41,0.5,21.0,101.3,100.5,0.96,Denver Nuggets*,Denver Nuggets*,1995
4,,36,46,0.439,26.0,103.2,106.1,-2.39,Dallas Mavericks,Dallas Mavericks,1995
5,,21,61,0.256,41.0,94.2,103.2,-8.22,Minnesota Timberwolves,Minnesota Timberwolves,1995
6,,59,23,0.72,—,110.6,106.8,3.86,Phoenix Suns*,Phoenix Suns*,1995
7,,57,25,0.695,2.0,110.4,102.2,7.91,Seattle SuperSonics*,Seattle SuperSonics*,1995
8,,48,34,0.585,11.0,105.1,105.3,-0.01,Los Angeles Lakers*,Los Angeles Lakers*,1995
9,,44,38,0.537,15.0,103.1,99.2,3.8,Portland Trail Blazers*,Portland Trail Blazers*,1995
10,,39,43,0.476,20.0,98.2,99.2,-0.74,Sacramento Kings,Sacramento Kings,1995
11,,26,56,0.317,33.0,105.7,111.1,-4.9,Golden State Warriors,Golden State Warriors,1995
12,,17,65,0.207,42.0,96.7,105.8,-8.43,Los Angeles Clippers,Los Angeles Clippers,1995
0,Orlando Magic*,60,22,0.732,—,104.5,99.0,5.4,,Orlando Magic*,1996
1,New York Knicks*,47,35,0.573,13.0,97.2,94.9,2.24,,New York Knicks*,1996
2,Miami Heat*,42,40,0.512,18.0,96.5,95.0,1.46,,Miami Heat*,1996
3,Washington Bullets,39,43,0.476,21.0,102.5,101.5,0.99,,Washington Bullets,1996
4,Boston Celtics,33,49,0.402,27.0,103.6,107.0,-3.37,,Boston Celtics,1996
5,New Jersey Nets,30,52,0.366,30.0,93.7,97.9,-4.14,,New Jersey Nets,1996
6,Philadelphia 76ers,18,64,0.22,42.0,94.5,104.5,-9.45,,Philadelphia 76ers,1996
7,Chicago Bulls*,72,10,0.878,—,105.2,92.9,11.8,,Chicago Bulls*,1996
8,Indiana Pacers*,52,30,0.634,20.0,99.3,96.1,3.11,,Indiana Pacers*,1996
9,Cleveland Cavaliers*,47,35,0.573,25.0,91.1,88.5,2.49,,Cleveland Cavaliers*,1996
10,Atlanta Hawks*,46,36,0.561,26.0,98.3,97.1,1.29,,Atlanta Hawks*,1996
11,Detroit Pistons*,46,36,0.561,26.0,95.4,92.9,2.45,,Detroit Pistons*,1996
12,Charlotte Hornets,41,41,0.5,31.0,102.8,103.4,-0.48,,Charlotte Hornets,1996
13,Milwaukee Bucks,25,57,0.305,47.0,95.6,100.9,-4.92,,Milwaukee Bucks,1996
14,Toronto Raptors,21,61,0.256,51.0,97.5,105.0,-7.2,,Toronto Raptors,1996
0,,59,23,0.72,—,103.4,97.1,5.98,San Antonio Spurs*,San Antonio Spurs*,1996
1,,55,27,0.671,4.0,102.5,95.9,6.25,Utah Jazz*,Utah Jazz*,1996
2,,48,34,0.585,11.0,102.5,100.7,1.63,Houston Rockets*,Houston Rockets*,1996
3,,35,47,0.427,24.0,97.7,100.4,-2.62,Denver Nuggets,Denver Nuggets,1996
4,,26,56,0.317,33.0,97.9,103.2,-5.14,Minnesota Timberwolves,Minnesota Timberwolves,1996
5,,26,56,0.317,33.0,102.5,107.5,-4.71,Dallas Mavericks,Dallas Mavericks,1996
6,,15,67,0.183,44.0,89.8,99.8,-9.55,Vancouver Grizzlies,Vancouver Grizzlies,1996
7,,64,18,0.78,—,104.5,96.7,7.4,Seattle SuperSonics*,Seattle SuperSonics*,1996
8,,53,29,0.646,11.0,102.9,98.5,4.21,Los Angeles Lakers*,Los Angeles Lakers*,1996
9,,44,38,0.537,20.0,99.3,97.0,2.21,Portland Trail Blazers*,Portland Trail Blazers*,1996
10,,41,41,0.5,23.0,104.3,104.0,0.28,Phoenix Suns*,Phoenix Suns*,1996
11,,39,43,0.476,25.0,99.5,102.3,-2.62,Sacramento Kings*,Sacramento Kings*,1996
12,,36,46,0.439,28.0,101.6,103.1,-1.42,Golden State Warriors,Golden State Warriors,1996
13,,29,53,0.354,35.0,99.4,103.0,-3.46,Los Angeles Clippers,Los Angeles Clippers,1996
0,Miami Heat*,61,21,0.744,—,94.8,89.3,5.56,,Miami Heat*,1997
1,New York Knicks*,57,25,0.695,4.0,95.4,92.2,3.31,,New York Knicks*,1997
2,Orlando Magic*,45,37,0.549,16.0,94.1,94.5,-0.07,,Orlando Magic*,1997
3,Washington Bullets*,44,38,0.537,17.0,99.4,97.7,1.77,,Washington Bullets*,1997
4,New Jersey Nets,26,56,0.317,35.0,97.2,101.8,-3.89,,New Jersey Nets,1997
5,Philadelphia 76ers,22,60,0.268,39.0,100.2,106.7,-5.89,,Philadelphia 76ers,1997
6,Boston Celtics,15,67,0.183,46.0,100.6,107.9,-6.62,,Boston Celtics,1997
